Id;Label;indegree;outdegree;degree;clustering;Clustering Coefficient;;;;;
bc1qcpjvdrjhkvuum9ds928w3xs8rzsur39qwqvn73;bc1qcpjvdrjhkvuum9ds928w3xs8rzsur39qwqvn74;0;1;1;0;0;;;;;
bc1q55yj8wrt0zdzsepr4s0u6zgtlkhj7tcz7xt6qq;bc1q55yj8wrt0zdzsepr4s0u6zgtlkhj7tcz7xt6qq;0;1;1;0;0;;;;;
bc1q0ty4f7dhxgvcr8hzn9p72ju9cepeyyy6qmh8nd;bc1q0ty4f7dhxgvcr8hzn9p72ju9cepeyyy6qmh8nd;0;1;1;0;0;;;;;
bc1qjwq7nz9ycxzv8dzhn72d4xgh28je093m9c5vs6;bc1qjwq7nz9ycxzv8dzhn72d4xgh28je093m9c5vs7;0;1;1;0;0;;;;;
bc1qk8z4lqgzrpqz60v7u4fqp3vsfnwgepj2qdck28;bc1qk8z4lqgzrpqz60v7u4fqp3vsfnwgepj2qdck29;0;1;1;0;0;;;;;
bc1q3vdfnq9mnvp3za9d8573tasrarq4rrzj9zfhhz;bc1q3vdfnq9mnvp3za9d8573tasrarq4rrzj9zfhhz;5;0;5;0;0;;;;;
bc1p2l28v3rn77hkjkh5e89f83nu3rwrx6mpd3p9g79hrevc5kyn85equaj9wv;bc1p2l28v3rn77hkjkh5e89f83nu3rwrx6mpd3p9g79hrevc5kyn85equaj9wv;1;2;3;0.5;0;;;;;
bc1pwt0p4ppwuraz6n3jaj560nlpl7fm8p9mt2pdvkc82jj7f3mhp2xsg230mv;bc1pwt0p4ppwuraz6n3jaj560nlpl7fm8p9mt2pdvkc82jj7f3mhp2xsg230mv;1;0;1;0;0;;;;;
bc1p38es7y3pstsy6nq3p657thrr5r3rr0f2ss0njd0rt0q9tqcg29ss2l7qfa;bc1p38es7y3pstsy6nq3p657thrr5r3rr0f2ss0njd0rt0q9tqcg29ss2l7qfa;1;2;3;0.5;0;;;;;
bc1pvncvpd6uq7x9m0dvqu6k5qnyvmrqwsxmqjfnl9yg8u20k6aka0zqwnhvtz;bc1pvncvpd6uq7x9m0dvqu6k5qnyvmrqwsxmqjfnl9yg8u20k6aka0zqwnhvtz;1;0;1;0;0;;;;;
